tweet_id,sentiment,content;
"1957014389,alívio,""preciso terminar de pintar todos os móveis do quarto, ainda tenho que fazer a mesa, mas vai esperar até depois da mudança. Uggh se movendo no calor""";
"1957037860,alívio,""Relâmpagos e trovões assustadores Estou feliz que acabou agora. Vou dormir, espero não me atrasar para a escola amanhã de novo. Haha""";
1957044366,tédio,por que eu concordei em trabalhar um turno duplo!!;
1957053409,alívio,estou em casa. com segurança... mas com fome;
"1957065570,alívio,""@AnthonyLucas @iainfunnell Sim, movendo-se fisicamente também! Aparentemente estaremos reportando diretamente ao Sr. Garcia...""";
"1957083786,tédio,""estou muito, muito entediado... acho que vou para a cama""";
1957089935,raiva,Trabalhando Mas é sextaaaaaaaaaaa;
1957110088,raiva,Eu não gosto de fazer as malas.;
1957147618,alívio,@colstewart Você está pedalando, mas isso é bom. Alimentação saudável Saudável e alimentação são uma contradição em termos.;
"1957183352,tédio,""ESSA MERDA DO TWITTER ME ENTENDE, AGORA EU SEI PORQUE NÃO ENTRO AQUI HÁ UM MÊS""";
1957208962,tédio,Na verdade, ainda não consegui comprar nada na loja. Erro constante do servidor no check-out;
1957289252,raiva,Eu tentei pintar meu cabelo e tudo que consegui foi um pedaço loiro na parte da frente do meu cabelo. Droga.;
1957477724,raiva,Meu estômago está todo EXPLODIDO de McDonalds por que tudo que tem gosto bom é ruim para você?;
"1957589597,raiva,""Um Jesus histórico já existiu? Estou achando difícil provar, é tudo boato... isso me incomoda...""";
